date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:19	1984/1984	---M--	200	added ('OK')	image/png	etag:%2254cc7500-7c0%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/images/postto-buttons.png	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/highlander-comments/images/postto-buttons.png	(from https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1522184747h&cssminify=yes)
19:41:19	1232/1232	---M--	200	added ('OK')	image/gif	etag:%2254cc7500-4d0%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back.gif	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back.gif	(from https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1522184747h&cssminify=yes)
19:41:19	1232/1232	---M--	200	added ('OK')	image/gif	etag:%2254cc750b-4d0%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back-over.gif	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back-over.gif	(from https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1522184747h&cssminify=yes)
19:41:20	10819/10819	---M--	200	added ('OK')	image/gif	etag:%2254c2cddb-2a43%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/images/loader.gif	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/highlander-comments/images/loader.gif	(from https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1522184747h&cssminify=yes)
19:41:20	55795/55795	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2023:26:49%20GMT	https://nathanplugintest.files.wordpress.com/2018/04/person-smartphone-office-table.jpeg?w=1600&h=1067&crop=1	E:/Website/Test%20Example/nathanplugintest.files.wordpress.com/2018/04/person-smartphone-office-table10d2.jpg	(from https://nathanplugintest.wordpress.com/contact/)
19:41:21	1103/1103	---MCZ	200	added ('OK')	text/css	etag:W/%22560efc69-4b9%22	https://s0.wp.com/wp-content/mu-plugins/grunion-contact-form/css/grunion.css?m=1443822690h&cssminify=yes	E:/Website/Test%20Example/s0.wp.com/wp-content/mu-plugins/grunion-contact-form/css/grunion95bd.css	(from https://nathanplugintest.wordpress.com/contact/)
19:41:21	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2018%20Apr%202018%2023:41:27%20GMT	https://nathanplugintest.wordpress.com/xmlrpc.php	E:/Website/Test%20Example/nathanplugintest.wordpress.com/xmlrpc.14.delayed	(from https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/)
19:41:22	840/840	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2232796cf25b0ff1404a1a2dd50991e3ee%22	https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/feed/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/feed/index.html	(from https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/)
19:41:22	11726/11726	---MCZ	200	added ('OK')	text/html	etag:W/%22a8c210da8f850379c3650c1e98af8860%22	https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/amp/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/amp/index.html	(from https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/)
19:41:22	65491/65491	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2023:41:28%20GMT	https://nathanplugintest.wordpress.com/author/nathanplugintest/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/author/nathanplugintest/index.html	(from https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/)
19:41:22	58865/58865	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Apr%202018%2023:41:28%20GMT	https://nathanplugintest.wordpress.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://0.gravatar.com/js/gprofiles.js?ver=201816y)
19:41:22	300078/300078	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2020:12:42%20GMT	https://twentysixteendemo.files.wordpress.com/2015/11/post.png?w=740	E:/Website/Test%20Example/twentysixteendemo.files.wordpress.com/2015/11/postd6d1.png	(from https://nathanplugintest.wordpress.com/2018/04/18/the-journey-begins/)
19:41:22	50/50	---M--	200	added ('OK')	image/gif	date:Wed,%2018%20Apr%202018%2023:41:28%20GMT	https://pixel.wp.com/g.gif?v=wpcom2&x_grav-hover=	E:/Website/Test%20Example/pixel.wp.com/g9818.gif	(from http://0.gravatar.com/js/gprofiles.js?ver=201816y)
19:41:23	367/367	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Apr%202018%2023:41:29%20GMT	https://s2.wp.com/robots.txt		(from https://nathanplugintest.wordpress.com/)
19:41:23	4529/4529	---M--	200	added ('OK')	image/png	etag:%2254cc7504-11b1%22	https://s1.wp.com/wp-content/mu-plugins/carousel/images/arrows.png	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/carousel/images/arrows.png	(from https://s1.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel.css?m=1481571546h&cssminify=yes)
19:41:23	10063/10063	---M--	200	added ('OK')	image/png	etag:%2254cc750a-274f%22	https://s1.wp.com/wp-content/mu-plugins/carousel/images/arrows-2x.png	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/carousel/images/arrows-2x.png	(from https://s1.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel.css?m=1481571546h&cssminify=yes)
19:41:23	1318/1318	---M--	200	added ('OK')	image/png	etag:%2254cc750a-526%22	https://s1.wp.com/wp-content/mu-plugins/carousel/images/carousel-sprite.png?5	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/carousel/images/carousel-spritee4da.png	(from https://s1.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel.css?m=1481571546h&cssminify=yes)
19:41:23	2076/2076	---M--	200	added ('OK')	image/png	etag:%2254c2cdd4-81c%22	https://s1.wp.com/wp-content/mu-plugins/carousel/images/carousel-sprite-2x.png?5	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/carousel/images/carousel-sprite-2xe4da.png	(from https://s1.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel.css?m=1481571546h&cssminify=yes)
19:41:24	58740/58740	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Apr%202018%2023:41:30%20GMT	https://nathanplugintest.wordpress.com/POST	E:/Website/Test%20Example/nathanplugintest.wordpress.com/POST	(from https://s.skimresources.com/js/725X1342.skimlinks.js)
19:41:24	58714/58714	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Apr%202018%2023:41:30%20GMT	https://nathanplugintest.wordpress.com/div.c	E:/Website/Test%20Example/nathanplugintest.wordpress.com/div.c	(from https://s.skimresources.com/js/725X1342.skimlinks.js)
